Income Range,60629 Value,60629 Error,60636 Value,60636 Error,60652 Value,60652 Error
Total,33825,1052,11334,629,13643,666
"Less than $10,000",1722,326,1390,279,1031,329
"$10,000 to $14,999",1201,279,1076,240,830,240
"$15,000 to $19,999",1249,356,785,257,1249,166
"$20,000 to $24,999",3142,706,1328,375,1075,208
"$25,000 to $29,999",2955,495,1057,342,426,216
"$30,000 to $34,999",1509,336,336,581,626,204
"$35,000 to $39,999",1621,353,581,363,432,165
"$40,000 to $44,999",1293,314,570,458,382,149
"$45,000 to $49,999",1179,288,458,314,449,144
"$50,000 to $59,999",2423,463,614,161,977,277
"$60,000 to $74,999",3301,518,891,231,1319,378
"$75,000 to $99,999",3909,788,679,164,2250,405
"$100,000 to $124,999",2902,490,641,197,1664,334
"$125,000 to $149,999",2243,449,257,107,1250,303
"$150,000 to $199,999",1952,326,360,133,1064,273
"$200,000 or more",1224,280,228,143,737,175
