Age Group,60629 Value,60629 Error,60636 Value,60636 Error,60652 Value,60652 Error
Total,108997,4538,29833,1713,42223,2613
Female,4817,379,701,1055,1063,308
Under 5 years,3369,612,5105,918,3518,408
5 to 9 years,3535,716,3352,848,1613,375
10 to 14 years,2542,447,2047,532,848,292
15 to 17 years,1266,349,1326,457,636,176
18 and 19 years,755,94,226,47,176,47
20 years,1149,95,407,407,312,169
21 years,3230,552,562,562,934,400
22 to 24 years,4804,563,1175,1175,1300,934
25 to 29 years,3110,467,563,563,906,563
30 to 34 years,2522,507,886,886,2025,886
35 to 39 years,4021,588,521,582,1499,506
40 to 44 years,3597,522,582,508,1264,512
45 to 49 years,3328,493,408,519,1190,532
50 to 54 years,2622,400,424,473,1502,424
55 to 59 years,1369,333,256,404,725,204
60 and 61 years,1329,256,204,616,620,337
62 to 64 years,803,247,297,517,337,459
65 and 66 years,941,297,459,230,740,375
67 to 69 years,2209,497,497,416,648,416
70 to 74 years,885,347,517,N/A,375,131
75 to 79 years,775,222,358,N/A,416,N/A
